id,title,series,author,,genre,date_published,publisher,,,review_count,rating_count,rate
31,2666,"
        (2666 #1-5)
",Roberto Bolaño,,"Fiction,Literature,Novels,European Literature,Spanish Literature,Literary Fiction,Cultural,Latin American,Mystery,Contemporary,Classics",October 1st 2004,"Anagrama

            ,",,,"4,113","38,142",4.13
32,"Frostbite (Vampire Academy, #2)","
        (Vampire Academy #2)
",Richelle Mead,,"Young Adult,Fantasy,Paranormal,Vampires,Fantasy,Paranormal,Romance,Fantasy,Urban Fantasy,Romance,Paranormal Romance,Fantasy,Supernatural,Fiction",April 10th 2008,"Razorbill

            ,",,,"11,920","339,026",4.24
33,"Pattern Recognition (Blue Ant, #1)",,,,,,NaN,,,NaN,,
34,"The Lost Symbol (Robert Langdon, #3)","
        (Robert Langdon #3)
",Dan Brown,,"Fiction,Mystery,Thriller,Thriller,Mystery Thriller,Suspense,Adventure,Historical,Historical Fiction,Mystery,Crime,Novels",September 15th 2009,Doubleday,,,"28,037","565,001",3.73
35,"Olive Kitteridge (Olive Kitteridge, #1)","
        (Olive Kitteridge #1)
",Elizabeth Strout,,"Fiction,Short Stories,Literary Fiction,Contemporary,Book Club,Adult Fiction,Adult,Novels,Audiobook",March 25th 2008,Random House,,,"21,449","199,813",3.83
36,The Last Lecture,,"Randy Pausch,Jeffrey Zaslow",,"Nonfiction,Autobiography,Memoir,Biography,Self Help,Inspirational,Philosophy,Biography,Autobiography,Biography Memoir,Audiobook",April 8th 2008,Hachette Books,,,"17,914","327,566",4.23
37,"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)","
        (Miss Peregrine's Peculiar Children #1)
",Ransom Riggs,,"Fantasy,Young Adult,Fiction,Fantasy,Paranormal,Mystery,Horror,Historical,Historical Fiction,Science Fiction,Time Travel,Fantasy,Supernatural",June 7th 2011,Quirk,,,"63,064","1,091,617",3.91
38,"Me Before You (Me Before You, #1)","
        (Me Before You #1)
",Jojo Moyes,,"Romance,Fiction,Contemporary,Womens Fiction,Chick Lit,Adult,Adult Fiction,Audiobook,Romance,Contemporary Romance,Drama",July 30th 2013,"Penguin Books

            ,",,,"86,362","1,307,621",4.25
39,The Tales of Beedle the Bard,"
        (Hogwarts Library)
","J.K. Rowling,Lý Lan",,"Fantasy,Fiction,Young Adult,Short Stories,Childrens,Fantasy,Magic,Childrens,Middle Grade,Fantasy,Fairy Tales,Audiobook",December 4th 2008,Bloomsbury,,,"16,483","449,640",4.04
40,Reading Lolita in Tehran: A Memoir in Books,,Azar Nafisi,,"Nonfiction,Autobiography,Memoir,Biography,Cultural,Iran,Writing,Books About Books,Feminism,History,Biography Memoir,Womens",December 30th 2003,"Random House Trade Paperbacks

            ,",,,"8,006","133,055",3.62
41,The Plot Against America,,Philip Roth,,"Fiction,Historical,Historical Fiction,Science Fiction,Alternate History,Literature,Novels,Science Fiction,Literature,American,Politics,Literature,Jewish",September 27th 2005,"Vintage International

            ,",,,"4,577","60,054",3.76
42,World War Z: An Oral History of the Zombie War,,,,,,NaN,,,NaN,,
43,Thirteen Reasons Why,,,,,,NaN,,,NaN,,
44,The Ocean at the End of the Lane,,Neil Gaiman,,"Fantasy,Fiction,Magical Realism,Horror,Audiobook,Young Adult,Adult,Science Fiction Fantasy,Adult Fiction",June 18th 2013,William Morrow Books,,,"51,168","529,598",4
45,"Wolf Hall (Thomas Cromwell, #1)","
        (Thomas Cromwell #1)
",Hilary Mantel,,"Historical,Historical Fiction,Fiction,Historical,European Literature,British Literature,Audiobook,Literary Fiction,Novels,Unfinished,Literature",2010,"HarperCollins Publishers Ltd

            ,",,,"17,126","190,316",3.87
